name,pokedex_number,type1,type2,evolution_stage,fully_evolved,color,habitat,generation
Dugtrio,51,ground,,2,True,brown,cave,1
Meowth,52,normal,,1,False,yellow,urban,1
Persian,53,normal,,2,True,yellow,urban,1
Psyduck,54,water,,1,False,yellow,waters-edge,1
Golduck,55,water,,2,True,blue,waters-edge,1
Mankey,56,fighting,,1,False,brown,mountain,1
Primeape,57,fighting,,2,True,brown,mountain,1
Growlithe,58,fire,,1,False,brown,grassland,1
Arcanine,59,fire,,2,True,brown,grassland,1
Poliwag,60,water,,1,False,blue,waters-edge,1
Poliwhirl,61,water,,2,False,blue,waters-edge,1
Poliwrath,62,water,fighting,3,True,blue,waters-edge,1
Abra,63,psychic,,1,False,brown,urban,1
Kadabra,64,psychic,,2,False,brown,urban,1
Alakazam,65,psychic,,3,True,brown,urban,1
Machop,66,fighting,,1,False,gray,mountain,1
Machoke,67,fighting,,2,False,gray,mountain,1
Machamp,68,fighting,,3,True,gray,mountain,1
Bellsprout,69,grass,poison,1,False,green,forest,1
Weepinbell,70,grass,poison,2,False,green,forest,1
Victreebel,71,grass,poison,3,True,green,forest,1
Tentacool,72,water,poison,1,False,blue,sea,1
Tentacruel,73,water,poison,2,True,blue,sea,1
Geodude,74,rock,ground,1,False,brown,mountain,1
Graveler,75,rock,ground,2,False,brown,mountain,1
Golem,76,rock,ground,3,True,brown,mountain,1
Ponyta,77,fire,,1,False,yellow,grassland,1
Rapidash,78,fire,,2,True,yellow,grassland,1
Slowpoke,79,water,psychic,1,False,pink,waters-edge,1
Slowbro,80,water,psychic,2,True,pink,waters-edge,1
Magnemite,81,electric,,1,False,gray,rough-terrain,1
Magneton,82,electric,,2,True,gray,rough-terrain,1
Farfetch'd,83,normal,flying,0,False,brown,grassland,1
Doduo,84,normal,flying,1,False,brown,grassland,1
Dodrio,85,normal,flying,2,True,brown,grassland,1
Seel,86,water,,1,False,white,sea,1
Dewgong,87,water,ice,2,True,white,sea,1
Grimer,88,poison,,1,False,purple,urban,1
Muk,89,poison,,2,True,purple,urban,1
Shellder,90,water,,1,False,purple,sea,1
Cloyster,91,water,ice,2,True,purple,sea,1
Gastly,92,ghost,poison,1,False,purple,cave,1
Haunter,93,ghost,poison,2,False,purple,cave,1
Gengar,94,ghost,poison,3,True,purple,cave,1
Onix,95,rock,ground,1,True,gray,cave,1
Drowzee,96,psychic,,1,False,yellow,grassland,1
Hypno,97,psychic,,2,True,yellow,grassland,1
Krabby,98,water,,1,False,red,waters-edge,1
Kingler,99,water,,2,True,red,waters-edge,1
Voltorb,100,electric,,1,False,red,urban,1
Electrode,101,electric,,2,True,red,urban,1
Exeggcute,102,grass,psychic,1,False,pink,forest,1
Exeggutor,103,grass,psychic,2,True,yellow,forest,1
Cubone,104,ground,,1,False,brown,mountain,1
Marowak,105,ground,,2,True,brown,mountain,1
Hitmonlee,106,fighting,,1,True,brown,urban,1
Hitmonchan,107,fighting,,1,True,brown,urban,1
Lickitung,108,normal,,1,True,pink,grassland,1
Koffing,109,poison,,1,False,purple,urban,1
Weezing,110,poison,,2,True,purple,urban,1
Rhyhorn,111,ground,rock,1,False,gray,rough-terrain,1
Rhydon,112,ground,rock,2,True,gray,rough-terrain,1
Chansey,113,normal,,1,True,pink,urban,1
Tangela,114,grass,,1,True,blue,grassland,1
Kangaskhan,115,normal,,1,True,brown,grassland,1
Horsea,116,water,,1,False,blue,sea,1
Seadra,117,water,,2,True,blue,sea,1
Goldeen,118,water,,1,False,red,waters-edge,1
Seaking,119,water,,2,True,red,waters-edge,1
Staryu,120,water,,1,False,brown,sea,1
Starmie,121,water,psychic,2,True,purple,sea,1
Mr. Mime,122,psychic,,0,False,pink,urban,1
Scyther,123,bug,flying,1,True,green,grassland,1
Jynx,124,ice,psychic,1,True,red,urban,1
Electabuzz,125,electric,,1,True,yellow,grassland,1
Magmar,126,fire,,1,True,red,mountain,1
Pinsir,127,bug,,1,True,brown,forest,1
Tauros,128,normal,,1,True,brown,grassland,1
Magikarp,129,water,,1,False,red,waters-edge,1
Gyarados,130,water,flying,2,True,blue,waters-edge,1
Lapras,131,water,ice,1,True,blue,sea,1
Ditto,132,normal,,1,True,purple,urban,1
Eevee,133,normal,,1,False,brown,urban,1
Vaporeon,134,water,,2,True,blue,urban,1
Jolteon,135,electric,,2,True,yellow,urban,1
Flareon,136,fire,,2,True,red,urban,1
Porygon,137,normal,,1,True,pink,urban,1
Omanyte,138,rock,water,1,False,blue,sea,1
Omastar,139,rock,water,2,True,blue,sea,1
Kabuto,140,rock,water,1,False,brown,sea,1
Kabutops,141,rock,water,2,True,brown,sea,1
Aerodactyl,142,rock,flying,1,True,purple,mountain,1
Snorlax,143,normal,,1,True,black,mountain,1
Articuno,144,ice,flying,1,True,blue,rare,1
Zapdos,145,electric,flying,1,True,yellow,rare,1
Moltres,146,fire,flying,1,True,yellow,rare,1
Dratini,147,dragon,,1,False,blue,waters-edge,1
Dragonair,148,dragon,,2,False,blue,waters-edge,1
Dragonite,149,dragon,flying,3,True,brown,waters-edge,1
Mewtwo,150,psychic,,1,True,purple,rare,1
Mew,151,psychic,,1,True,pink,rare,1
