name,pokedex_number,type1,type2,generation,weight_kg,height_m,fname,color,habitat,evolution_stage,fully_evolved
diglett,50,ground,none,1,,,Diglett,brown,cave,1,False
dugtrio,51,ground,none,1,,,Dugtrio,brown,cave,2,True
meowth,52,normal,none,1,,,Meowth,yellow,urban,1,False
persian,53,normal,none,1,,,Persian,yellow,urban,2,True
psyduck,54,water,none,1,19.6,0.8,Psyduck,yellow,waters-edge,1,False
golduck,55,water,none,1,76.6,1.7,Golduck,blue,waters-edge,2,True
mankey,56,fighting,none,1,28.0,0.5,Mankey,brown,mountain,1,False
primeape,57,fighting,none,1,32.0,1.0,Primeape,brown,mountain,2,True
growlithe,58,fire,none,1,19.0,0.7,Growlithe,brown,grassland,1,False
arcanine,59,fire,none,1,155.0,1.9,Arcanine,brown,grassland,2,True
poliwag,60,water,none,1,12.4,0.6,Poliwag,blue,waters-edge,1,False
poliwhirl,61,water,none,1,20.0,1.0,Poliwhirl,blue,waters-edge,2,False
poliwrath,62,water,fighting,1,54.0,1.3,Poliwrath,blue,waters-edge,3,True
abra,63,psychic,none,1,19.5,0.9,Abra,brown,urban,1,False
kadabra,64,psychic,none,1,56.5,1.3,Kadabra,brown,urban,2,False
alakazam,65,psychic,none,1,48.0,1.5,Alakazam,brown,urban,3,True
machop,66,fighting,none,1,19.5,0.8,Machop,gray,mountain,1,False
machoke,67,fighting,none,1,70.5,1.5,Machoke,gray,mountain,2,False
machamp,68,fighting,none,1,130.0,1.6,Machamp,gray,mountain,3,True
bellsprout,69,grass,poison,1,4.0,0.7,Bellsprout,green,forest,1,False
weepinbell,70,grass,poison,1,6.4,1.0,Weepinbell,green,forest,2,False
victreebel,71,grass,poison,1,15.5,1.7,Victreebel,green,forest,3,True
tentacool,72,water,poison,1,45.5,0.9,Tentacool,blue,sea,1,False
tentacruel,73,water,poison,1,55.0,1.6,Tentacruel,blue,sea,2,True
geodude,74,rock,ground,1,,,Geodude,brown,mountain,1,False
graveler,75,rock,ground,1,,,Graveler,brown,mountain,2,False
golem,76,rock,ground,1,,,Golem,brown,mountain,3,True
ponyta,77,fire,none,1,30.0,1.0,Ponyta,yellow,grassland,1,False
rapidash,78,fire,none,1,95.0,1.7,Rapidash,yellow,grassland,2,True
slowpoke,79,water,psychic,1,36.0,1.2,Slowpoke,pink,waters-edge,1,False
slowbro,80,water,psychic,1,78.5,1.6,Slowbro,pink,waters-edge,2,True
magnemite,81,electric,steel,1,6.0,0.3,Magnemite,gray,rough-terrain,1,False
magneton,82,electric,steel,1,60.0,1.0,Magneton,gray,rough-terrain,2,True
farfetchd,83,normal,flying,1,15.0,0.8,Farfetch'd,brown,grassland,1,True
doduo,84,normal,flying,1,39.2,1.4,Doduo,brown,grassland,1,False
dodrio,85,normal,flying,1,85.2,1.8,Dodrio,brown,grassland,2,True
seel,86,water,none,1,90.0,1.1,Seel,white,sea,1,False
dewgong,87,water,ice,1,120.0,1.7,Dewgong,white,sea,2,True
grimer,88,poison,none,1,,,Grimer,purple,urban,1,False
muk,89,poison,none,1,,,Muk,purple,urban,2,True
shellder,90,water,none,1,4.0,0.3,Shellder,purple,sea,1,False
cloyster,91,water,ice,1,132.5,1.5,Cloyster,purple,sea,2,True
gastly,92,ghost,poison,1,0.1,1.3,Gastly,purple,cave,1,False
haunter,93,ghost,poison,1,0.1,1.6,Haunter,purple,cave,2,False
gengar,94,ghost,poison,1,40.5,1.5,Gengar,purple,cave,3,True
onix,95,rock,ground,1,210.0,8.8,Onix,gray,cave,1,False
drowzee,96,psychic,none,1,32.4,1.0,Drowzee,yellow,grassland,1,False
hypno,97,psychic,none,1,75.6,1.6,Hypno,yellow,grassland,2,True
krabby,98,water,none,1,6.5,0.4,Krabby,red,waters-edge,1,False
kingler,99,water,none,1,60.0,1.3,Kingler,red,waters-edge,2,True
voltorb,100,electric,none,1,10.4,0.5,Voltorb,red,urban,1,False
electrode,101,electric,none,1,66.6,1.2,Electrode,red,urban,2,True
exeggcute,102,grass,psychic,1,2.5,0.4,Exeggcute,pink,forest,1,False
exeggutor,103,grass,psychic,1,,,Exeggutor,yellow,forest,2,True
cubone,104,ground,none,1,6.5,0.4,Cubone,brown,mountain,1,False
marowak,105,ground,none,1,,,Marowak,brown,mountain,2,True
hitmonlee,106,fighting,none,1,49.8,1.5,Hitmonlee,brown,urban,2,True
hitmonchan,107,fighting,none,1,50.2,1.4,Hitmonchan,brown,urban,2,True
lickitung,108,normal,none,1,65.5,1.2,Lickitung,pink,grassland,1,True
koffing,109,poison,none,1,1.0,0.6,Koffing,purple,urban,1,False
weezing,110,poison,none,1,9.5,1.2,Weezing,purple,urban,2,True
rhyhorn,111,ground,rock,1,115.0,1.0,Rhyhorn,gray,rough-terrain,1,False
rhydon,112,ground,rock,1,120.0,1.9,Rhydon,gray,rough-terrain,2,True
chansey,113,normal,none,1,34.6,1.1,Chansey,pink,urban,1,False
tangela,114,grass,none,1,35.0,1.0,Tangela,blue,grassland,1,True
kangaskhan,115,normal,none,1,80.0,2.2,Kangaskhan,brown,grassland,1,True
horsea,116,water,none,1,8.0,0.4,Horsea,blue,sea,1,False
seadra,117,water,none,1,25.0,1.2,Seadra,blue,sea,2,False
goldeen,118,water,none,1,15.0,0.6,Goldeen,red,waters-edge,1,False
seaking,119,water,none,1,39.0,1.3,Seaking,red,waters-edge,2,True
staryu,120,water,none,1,34.5,0.8,Staryu,brown,sea,1,False
starmie,121,water,psychic,1,80.0,1.1,Starmie,purple,sea,2,True
mr-mime,122,psychic,none,1,54.5,1.3,Mr. Mime,pink,urban,1,True
scyther,123,bug,flying,1,56.0,1.5,Scyther,green,grassland,1,False
jynx,124,ice,psychic,1,40.6,1.4,Jynx,red,urban,2,True
electabuzz,125,electric,none,1,30.0,1.1,Electabuzz,yellow,grassland,2,True
magmar,126,fire,none,1,44.5,1.3,Magmar,red,mountain,2,True
pinsir,127,bug,none,1,55.0,1.5,Pinsir,brown,forest,1,True
tauros,128,normal,none,1,88.4,1.4,Tauros,brown,grassland,1,True
magikarp,129,water,none,1,10.0,0.9,Magikarp,red,waters-edge,1,False
gyarados,130,water,flying,1,235.0,6.5,Gyarados,blue,waters-edge,2,True
lapras,131,water,ice,1,220.0,2.5,Lapras,blue,sea,1,True
ditto,132,normal,none,1,4.0,0.3,Ditto,purple,urban,1,True
eevee,133,normal,none,1,6.5,0.3,Eevee,brown,urban,1,False
vaporeon,134,water,none,1,29.0,1.0,Vaporeon,blue,urban,2,True
jolteon,135,electric,none,1,24.5,0.8,Jolteon,yellow,urban,2,True
flareon,136,fire,none,1,25.0,0.9,Flareon,red,urban,2,True
porygon,137,normal,none,1,36.5,0.8,Porygon,pink,urban,1,False
omanyte,138,rock,water,1,7.5,0.4,Omanyte,blue,sea,1,False
omastar,139,rock,water,1,35.0,1.0,Omastar,blue,sea,2,True
kabuto,140,rock,water,1,11.5,0.5,Kabuto,brown,sea,1,False
kabutops,141,rock,water,1,40.5,1.3,Kabutops,brown,sea,2,True
aerodactyl,142,rock,flying,1,59.0,1.8,Aerodactyl,purple,mountain,1,True
snorlax,143,normal,none,1,460.0,2.1,Snorlax,black,mountain,1,True
articuno,144,ice,flying,1,55.4,1.7,Articuno,blue,rare,1,True
zapdos,145,electric,flying,1,52.6,1.6,Zapdos,yellow,rare,1,True
moltres,146,fire,flying,1,60.0,2.0,Moltres,yellow,rare,1,True
dratini,147,dragon,none,1,3.3,1.8,Dratini,blue,waters-edge,1,False
dragonair,148,dragon,none,1,16.5,4.0,Dragonair,blue,waters-edge,2,False
dragonite,149,dragon,flying,1,210.0,2.2,Dragonite,brown,waters-edge,3,True
mewtwo,150,psychic,none,1,122.0,2.0,Mewtwo,purple,rare,1,True
mew,151,psychic,none,1,4.0,0.4,Mew,pink,rare,1,True
chikorita,152,grass,none,2,6.4,0.9,Chikorita,green,grassland,1,False
bayleef,153,grass,none,2,15.8,1.2,Bayleef,green,grassland,2,False
meganium,154,grass,none,2,100.5,1.8,Meganium,green,grassland,3,True
cyndaquil,155,fire,none,2,7.9,0.5,Cyndaquil,yellow,grassland,1,False
quilava,156,fire,none,2,19.0,0.9,Quilava,yellow,grassland,2,False
typhlosion,157,fire,none,2,79.5,1.7,Typhlosion,yellow,grassland,3,True
totodile,158,water,none,2,9.5,0.6,Totodile,blue,waters-edge,1,False
croconaw,159,water,none,2,25.0,1.1,Croconaw,blue,waters-edge,2,False
feraligatr,160,water,none,2,88.8,2.3,Feraligatr,blue,waters-edge,3,True
sentret,161,normal,none,2,6.0,0.8,Sentret,brown,grassland,1,False
furret,162,normal,none,2,32.5,1.8,Furret,brown,grassland,2,True
hoothoot,163,normal,flying,2,21.2,0.7,Hoothoot,brown,forest,1,False
noctowl,164,normal,flying,2,40.8,1.6,Noctowl,brown,forest,2,True
ledyba,165,bug,flying,2,10.8,1.0,Ledyba,red,forest,1,False
ledian,166,bug,flying,2,35.6,1.4,Ledian,red,forest,2,True
spinarak,167,bug,poison,2,8.5,0.5,Spinarak,green,forest,1,False
ariados,168,bug,poison,2,33.5,1.1,Ariados,red,forest,2,True
crobat,169,poison,flying,2,75.0,1.8,Crobat,purple,cave,3,True
chinchou,170,water,electric,2,12.0,0.5,Chinchou,blue,sea,1,False
lanturn,171,water,electric,2,22.5,1.2,Lanturn,blue,sea,2,True
pichu,172,electric,none,2,2.0,0.3,Pichu,yellow,forest,1,False
cleffa,173,normal,none,2,3.0,0.3,Cleffa,pink,mountain,1,False
igglybuff,174,normal,none,2,1.0,0.3,Igglybuff,pink,grassland,1,False
togepi,175,normal,none,2,1.5,0.3,Togepi,white,forest,1,False
togetic,176,normal,flying,2,3.2,0.6,Togetic,white,forest,2,True
natu,177,psychic,flying,2,2.0,0.2,Natu,green,forest,1,False
xatu,178,psychic,flying,2,15.0,1.5,Xatu,green,forest,2,True
mareep,179,electric,none,2,7.8,0.6,Mareep,white,grassland,1,False
flaaffy,180,electric,none,2,13.3,0.8,Flaaffy,pink,grassland,2,False
ampharos,181,electric,none,2,61.5,1.4,Ampharos,yellow,grassland,3,True
bellossom,182,grass,none,2,5.8,0.4,Bellossom,green,grassland,3,True
marill,183,water,none,2,8.5,0.4,Marill,blue,waters-edge,1,False
azumarill,184,water,none,2,28.5,0.8,Azumarill,blue,waters-edge,2,True
sudowoodo,185,rock,none,2,38.0,1.2,Sudowoodo,brown,forest,1,True
politoed,186,water,none,2,33.9,1.1,Politoed,green,waters-edge,3,True
hoppip,187,grass,flying,2,0.5,0.4,Hoppip,pink,grassland,1,False
skiploom,188,grass,flying,2,1.0,0.6,Skiploom,green,grassland,2,False
jumpluff,189,grass,flying,2,3.0,0.8,Jumpluff,blue,grassland,3,True
aipom,190,normal,none,2,11.5,0.8,Aipom,purple,forest,1,True
sunkern,191,grass,none,2,1.8,0.3,Sunkern,yellow,grassland,1,False
sunflora,192,grass,none,2,8.5,0.8,Sunflora,yellow,grassland,2,True
yanma,193,bug,flying,2,38.0,1.2,Yanma,red,forest,1,True
wooper,194,water,ground,2,8.5,0.4,Wooper,blue,waters-edge,1,False
quagsire,195,water,ground,2,75.0,1.4,Quagsire,blue,waters-edge,2,True
espeon,196,psychic,none,2,26.5,0.9,Espeon,purple,urban,2,True
umbreon,197,dark,none,2,27.0,1.0,Umbreon,black,urban,2,True
murkrow,198,dark,flying,2,2.1,0.5,Murkrow,black,forest,1,True
slowking,199,water,psychic,2,79.5,2.0,Slowking,pink,waters-edge,2,True
misdreavus,200,ghost,none,2,1.0,0.7,Misdreavus,gray,cave,1,True
unown,201,psychic,none,2,5.0,0.5,Unown,black,rare,1,True
wobbuffet,202,psychic,none,2,28.5,1.3,Wobbuffet,blue,cave,1,True
girafarig,203,normal,psychic,2,41.5,1.5,Girafarig,yellow,grassland,1,True
pineco,204,bug,none,2,7.2,0.6,Pineco,gray,forest,1,False
forretress,205,bug,steel,2,125.8,1.2,Forretress,purple,forest,2,True
dunsparce,206,normal,none,2,14.0,1.5,Dunsparce,yellow,cave,1,True
gligar,207,ground,flying,2,64.8,1.1,Gligar,purple,mountain,1,True
steelix,208,steel,ground,2,400.0,9.2,Steelix,gray,cave,2,True
snubbull,209,normal,none,2,7.8,0.6,Snubbull,pink,urban,1,False
granbull,210,normal,none,2,48.7,1.4,Granbull,purple,urban,2,True
qwilfish,211,water,poison,2,3.9,0.5,Qwilfish,gray,sea,1,True
scizor,212,bug,steel,2,118.0,1.8,Scizor,red,grassland,2,True
shuckle,213,bug,rock,2,20.5,0.6,Shuckle,yellow,mountain,1,True
heracross,214,bug,fighting,2,54.0,1.5,Heracross,blue,forest,1,True
sneasel,215,dark,ice,2,28.0,0.9,Sneasel,black,forest,1,True
teddiursa,216,normal,none,2,8.8,0.6,Teddiursa,brown,mountain,1,False
ursaring,217,normal,none,2,125.8,1.8,Ursaring,brown,mountain,2,True
slugma,218,fire,none,2,35.0,0.7,Slugma,red,mountain,1,False
magcargo,219,fire,rock,2,55.0,0.8,Magcargo,red,mountain,2,True
swinub,220,ice,ground,2,6.5,0.4,Swinub,brown,cave,1,False
piloswine,221,ice,ground,2,55.8,1.1,Piloswine,brown,cave,2,True
corsola,222,water,rock,2,5.0,0.6,Corsola,pink,sea,1,True
remoraid,223,water,none,2,12.0,0.6,Remoraid,gray,sea,1,False
octillery,224,water,none,2,28.5,0.9,Octillery,red,sea,2,True
delibird,225,ice,flying,2,16.0,0.9,Delibird,red,mountain,1,True
mantine,226,water,flying,2,220.0,2.1,Mantine,purple,sea,1,True
skarmory,227,steel,flying,2,50.5,1.7,Skarmory,gray,rough-terrain,1,True
houndour,228,dark,fire,2,10.8,0.6,Houndour,black,rough-terrain,1,False
houndoom,229,dark,fire,2,35.0,1.4,Houndoom,black,rough-terrain,2,True
kingdra,230,water,dragon,2,152.0,1.8,Kingdra,blue,sea,3,True
phanpy,231,ground,none,2,33.5,0.5,Phanpy,blue,rough-terrain,1,False
donphan,232,ground,none,2,120.0,1.1,Donphan,gray,rough-terrain,2,True
porygon2,233,normal,none,2,32.5,0.6,Porygon2,red,urban,2,True
stantler,234,normal,none,2,71.2,1.4,Stantler,brown,forest,1,True
smeargle,235,normal,none,2,58.0,1.2,Smeargle,white,urban,1,True
tyrogue,236,fighting,none,2,21.0,0.7,Tyrogue,purple,urban,1,False
hitmontop,237,fighting,none,2,48.0,1.4,Hitmontop,brown,urban,2,True
smoochum,238,ice,psychic,2,6.0,0.4,Smoochum,pink,urban,1,False
elekid,239,electric,none,2,23.5,0.6,Elekid,yellow,grassland,1,False
magby,240,fire,none,2,21.4,0.7,Magby,red,mountain,1,False
miltank,241,normal,none,2,75.5,1.2,Miltank,pink,grassland,1,True
blissey,242,normal,none,2,46.8,1.5,Blissey,pink,urban,2,True
raikou,243,electric,none,2,178.0,1.9,Raikou,yellow,grassland,1,True
entei,244,fire,none,2,198.0,2.1,Entei,brown,grassland,1,True
suicune,245,water,none,2,187.0,2.0,Suicune,blue,grassland,1,True
larvitar,246,rock,ground,2,72.0,0.6,Larvitar,green,mountain,1,False
pupitar,247,rock,ground,2,152.0,1.2,Pupitar,gray,mountain,2,False
tyranitar,248,rock,dark,2,202.0,2.0,Tyranitar,green,mountain,3,True
lugia,249,psychic,flying,2,216.0,5.2,Lugia,white,rare,1,True
ho-oh,250,fire,flying,2,199.0,3.8,Ho-Oh,red,rare,1,True
celebi,251,psychic,grass,2,5.0,0.6,Celebi,green,forest,1,True
