name,fname,pokedex_number,type1,type2,habitat,color,evolution_stage,weight_kg,height_m,generation
tentacool,Tentacool,72,water,poison,sea,blue,1,45.5,0.9,1
tentacruel,Tentacruel,73,water,poison,sea,blue,2,55.0,1.6,1
geodude,Geodude,74,rock,ground,mountain,brown,1,,,1
graveler,Graveler,75,rock,ground,mountain,brown,2,,,1
golem,Golem,76,rock,ground,mountain,brown,3,,,1
ponyta,Ponyta,77,fire,none,grassland,yellow,1,30.0,1.0,1
rapidash,Rapidash,78,fire,none,grassland,yellow,2,95.0,1.7,1
slowpoke,Slowpoke,79,water,psychic,waters-edge,pink,1,36.0,1.2,1
slowbro,Slowbro,80,water,psychic,waters-edge,pink,2,78.5,1.6,1
magnemite,Magnemite,81,electric,none,rough-terrain,gray,1,6.0,0.3,1
magneton,Magneton,82,electric,none,rough-terrain,gray,2,60.0,1.0,1
farfetchd,Farfetch'd,83,normal,flying,grassland,brown,1,15.0,0.8,1
doduo,Doduo,84,normal,flying,grassland,brown,1,39.2,1.4,1
dodrio,Dodrio,85,normal,flying,grassland,brown,2,85.2,1.8,1
seel,Seel,86,water,none,sea,white,1,90.0,1.1,1
dewgong,Dewgong,87,water,ice,sea,white,2,120.0,1.7,1
grimer,Grimer,88,poison,none,urban,purple,1,,,1
muk,Muk,89,poison,none,urban,purple,2,,,1
shellder,Shellder,90,water,none,sea,purple,1,4.0,0.3,1
cloyster,Cloyster,91,water,ice,sea,purple,2,132.5,1.5,1
gastly,Gastly,92,ghost,poison,cave,purple,1,0.1,1.3,1
haunter,Haunter,93,ghost,poison,cave,purple,2,0.1,1.6,1
gengar,Gengar,94,ghost,poison,cave,purple,3,40.5,1.5,1
onix,Onix,95,rock,ground,cave,gray,1,210.0,8.8,1
drowzee,Drowzee,96,psychic,none,grassland,yellow,1,32.4,1.0,1
hypno,Hypno,97,psychic,none,grassland,yellow,2,75.6,1.6,1
krabby,Krabby,98,water,none,waters-edge,red,1,6.5,0.4,1
kingler,Kingler,99,water,none,waters-edge,red,2,60.0,1.3,1
voltorb,Voltorb,100,electric,none,urban,red,1,10.4,0.5,1
electrode,Electrode,101,electric,none,urban,red,2,66.6,1.2,1
exeggcute,Exeggcute,102,grass,psychic,forest,pink,1,2.5,0.4,1
exeggutor,Exeggutor,103,grass,psychic,forest,yellow,2,,,1
cubone,Cubone,104,ground,none,mountain,brown,1,6.5,0.4,1
marowak,Marowak,105,ground,none,mountain,brown,2,,,1
hitmonlee,Hitmonlee,106,fighting,none,urban,brown,1,49.8,1.5,1
hitmonchan,Hitmonchan,107,fighting,none,urban,brown,1,50.2,1.4,1
lickitung,Lickitung,108,normal,none,grassland,pink,1,65.5,1.2,1
koffing,Koffing,109,poison,none,urban,purple,1,1.0,0.6,1
weezing,Weezing,110,poison,none,urban,purple,2,9.5,1.2,1
rhyhorn,Rhyhorn,111,ground,rock,rough-terrain,gray,1,115.0,1.0,1
rhydon,Rhydon,112,ground,rock,rough-terrain,gray,2,120.0,1.9,1
chansey,Chansey,113,normal,none,urban,pink,1,34.6,1.1,1
tangela,Tangela,114,grass,none,grassland,blue,1,35.0,1.0,1
kangaskhan,Kangaskhan,115,normal,none,grassland,brown,1,80.0,2.2,1
horsea,Horsea,116,water,none,sea,blue,1,8.0,0.4,1
seadra,Seadra,117,water,none,sea,blue,2,25.0,1.2,1
goldeen,Goldeen,118,water,none,waters-edge,red,1,15.0,0.6,1
seaking,Seaking,119,water,none,waters-edge,red,2,39.0,1.3,1
staryu,Staryu,120,water,none,sea,brown,1,34.5,0.8,1
starmie,Starmie,121,water,psychic,sea,purple,2,80.0,1.1,1
mr-mime,Mr. Mime,122,psychic,none,urban,pink,1,54.5,1.3,1
scyther,Scyther,123,bug,flying,grassland,green,1,56.0,1.5,1
jynx,Jynx,124,ice,psychic,urban,red,1,40.6,1.4,1
electabuzz,Electabuzz,125,electric,none,grassland,yellow,1,30.0,1.1,1
magmar,Magmar,126,fire,none,mountain,red,1,44.5,1.3,1
pinsir,Pinsir,127,bug,none,forest,brown,1,55.0,1.5,1
tauros,Tauros,128,normal,none,grassland,brown,1,88.4,1.4,1
magikarp,Magikarp,129,water,none,waters-edge,red,1,10.0,0.9,1
gyarados,Gyarados,130,water,flying,waters-edge,blue,2,235.0,6.5,1
lapras,Lapras,131,water,ice,sea,blue,1,220.0,2.5,1
ditto,Ditto,132,normal,none,urban,purple,1,4.0,0.3,1
eevee,Eevee,133,normal,none,urban,brown,1,6.5,0.3,1
vaporeon,Vaporeon,134,water,none,urban,blue,2,29.0,1.0,1
jolteon,Jolteon,135,electric,none,urban,yellow,2,24.5,0.8,1
flareon,Flareon,136,fire,none,urban,red,2,25.0,0.9,1
porygon,Porygon,137,normal,none,urban,pink,1,36.5,0.8,1
omanyte,Omanyte,138,rock,water,sea,blue,1,7.5,0.4,1
omastar,Omastar,139,rock,water,sea,blue,2,35.0,1.0,1
kabuto,Kabuto,140,rock,water,sea,brown,1,11.5,0.5,1
kabutops,Kabutops,141,rock,water,sea,brown,2,40.5,1.3,1
aerodactyl,Aerodactyl,142,rock,flying,mountain,purple,1,59.0,1.8,1
snorlax,Snorlax,143,normal,none,mountain,black,1,460.0,2.1,1
articuno,Articuno,144,ice,flying,rare,blue,1,55.4,1.7,1
zapdos,Zapdos,145,electric,flying,rare,yellow,1,52.6,1.6,1
moltres,Moltres,146,fire,flying,rare,yellow,1,60.0,2.0,1
dratini,Dratini,147,dragon,none,waters-edge,blue,1,3.3,1.8,1
dragonair,Dragonair,148,dragon,none,waters-edge,blue,2,16.5,4.0,1
dragonite,Dragonite,149,dragon,flying,waters-edge,brown,3,210.0,2.2,1
mewtwo,Mewtwo,150,psychic,none,rare,purple,1,122.0,2.0,1
mew,Mew,151,psychic,none,rare,pink,1,4.0,0.4,1
